Gloss,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
AMAZING,AMAZING,AWESOME, WOW, AMAZED, MAD,AWESOME, WOW, CRAZY,,,,,,,,,,,
APPOINTMENT,APPOINTMENT,RESERVE, RESERVATION,RESERVATION, APPOINTMENT, RESERVE, BOOKED,,,,,,,,,,,,
BAKE_1,BAKE, BAKING,OVEN, BAKERY,BAKE, BAKING,,,,,,,,,,,,,
BASEBALL,BASEBALL,,,,,,,,,,,,,,,,,,
BEAT,BEAT,DEFEAT, DEFEATED, OVERCOME,CONQUER, BEAT, BEATEN, DEFEATED,,,,,,,,,,,
BELIEVE,BELIEVE,BELIEVABLE, HUSBAND,BELIEF, BELIEFS, HUSBAND,,,,,,,,,,,,,
BENEFIT,BENEFIT, BENEFITS,PITTSBURGH, CREDIT,  MAINE, FRATERNITY, CREDITS, SCORE, POINT, PROFIT,PITTSBURGH, MAINE, BENEFITS, POINTS, CREDIT,,,,
BIOLOGY,BIOLOGY,WORRY,TROUBLE, FRUSTRATE,,,,,,,,,,,,,,,
BIRD,BIRD, BIRDS,CHICKEN,CHICKEN, BIRD,,,,,,,,,,,,,,
BLANKET,BLANKET,SHEET, SHEETS, HAIR LENGTH THIS LONG..,,,,,,,,,,,,,,,
BLINDS_2,BLINDS,CLOSE/OPEN/TURN BLINDS, SHUTTERS, SHADES,OPEN BLINDS, SHUTTERS,,,,,,,,,,,,,
BONE,BONE, BONES,POISON, SKELETON,POISON, SKELETON, SKULL, TOXIC, BONES, CAUTIOUS,,,,,,,,,
BOOTS,BOOTS,FLOOR, EQUAL,FLOOR, BOOTS, BREAK EVEN, PUT TOGETHER,,,,,,,,,,,,
BOSS,BOSS,COACH, CAPTAIN, CHAIR, CHIEF,,,,,,,,,,,,,,
BRA,BRA,BIKINI, BATHING SUIT, SWIMMING SUIT TOP,BIKINI TOP,,,,,,,,,,,,,,
BRACELET,BRACELET,WATCH, WATCHES, WRISTWATCH, BRACE,BRACELET,,,,,,,,,,,,,
BRAVE,BRAVE,HEALTH, RECOVER, DRIVING, COURAGEOUS, COURAGE, STRONG,COURAGE, HEALTHY, HEALTH, HEAL, STRONG, STRENGTH, BRAVE,,,,,
BRIDESMAID,BRIDESMAID,BRIDE,,,,,,,,,,,,,,,,,
BUG,BUG,INSECT, INSECTS,ORGASM, INSECT, BUG, ANT,,,,,,,,,,,,
CABINET,CABINET, CABINETS,TAKE APART, PULL APART, TAKE AWAY, LOOKING THROUGH HANGING CLOTHES, READ INTENSELY, CUPBOARD,CABINETS,,,,,,,,,,
CANDY_1,CANDY,SOUR,,,,,,,,,,,,,,,,,
CANDY_2,CANDY,CUTE, HONEY, SUGAR, PUNY,CUTE, SUGAR, CANDY, HONEY,,,,,,,,,,
CANOE,CANOE, CANOEING,KAYAK, KAYAKING, PADDLING, RAFTING, ROW, ROWING, OAR,CANOE, PADDLE BOAT,,,,,,,,
CASTLE,CASTLE,,,,,,,,,,,,,,,,,,
CHANNEL,CHANNEL,DOORKNOB, TURN THE HEAT UP,CHANNEL(3), FAUCET, KNOB, COMBINATION SAFE / LOCKER,,,,,,,,,,,,
CHEAT_2,CHEAT, CHEATING,CHEATER, CHEATING,,,,,,,,,,,,,,,
CHOCOLATE,CHOCOLATE,TALK OR THINK DIRTY,,,,,,,,,,,,,,,,,
CLEAR,CLEAR,BRIGHT, OBVIOUS, LIGHT,OBVIOUS, CLEAR, BRIGHT, LIGHT, CLARIFY,,,,,,,,,,
CLOUD_2,CLOUD, CLOUDS,CLOUDY, DECORATE, DECORATION,DECORATION,,,,,,,,,,,,,
COMPUTER_MOUSE,COMPUTER MOUSE,MOUSE TRACKPAD,POINTING DEVICE, CL: HOW THE PERSON MOVED THE MOUSE,,,,,,,,,,,,,,,
CONTINUE,CONTINUE,GOING ON, CONSTANT, CONSTANTLY, PERSIST, LASTING, KEEP GOING, WON'T STOP,CARRY ON, CONSTANT, CONSTANTL, MONOTONOUS, ONGOING, CONTINUING, CONTINUOUS, NON-STOP,,,
CORKSCREW,CORKSCREW,,,,,,,,,,,,,,,,,,
CORN_2,CORN,TRANSMISSION,VAGUE, EVASIVE, BLURRY, SECRET, OBSCURE, SMEAR,,,,,,,,,,,
COUNSELOR,COUNSELING,ADVISOR, ADVICE, CONSULTANT,,,,,,,,,,,,,,,
COVER_UP,COVER UP, COVER,VAGUE, CONCEAL, MASK, MISLEAD, SLIDE OVER,,,,,,,,,,,,
CRAZY,CRAZY,INSANE, MINDLESS, PSYCHO, LOCO, MENTALLY ILL, MIND ISN'T WORKING, WACKO, CUKOO,INSANE, MENTAL, CRAZY, PSYCHO, LOOPY, NUTTY, STRANGE,,,
CRY,CRY, CRYING,TEARS,TEARFUL,,,,,,,,,,,,,,,
CUP,CUP,CAN, GLASS, GLASSES,,,,,,,,,,,,,,,
CURTAIN,CURTAIN, CURTAINS,DRAPES,DRAPE,,,,,,,,,,,,,,,
CUTE,CUTE,SUGAR,SUGAR,,,,,,,,,,,,,,,,
"DART,DART, DARTS, DARTING,""67,86"",THROW A DART, THROW SEEDS, THROW IN, TO GIVE MY INPUT,TOSS IN,,,,,,,,,,"
DECIDE_2,DECIDE,DECISION, DEFINITELY, DETERMINE, DID YOU MAKE A DECISION?,DECISION, DECIDE, POSITIVE, ASSUME,,,,,,,,,,
DENY,DENY, DENYING,DENIAL,DENIAL,,,,,,,,,,,,,,,
DIAPER,DIAPER, DIAPERS,NAVY,,,,,,,,,,,,,,,,
DINOSAUR,DINOSAUR, DINOSAURS,,,,,,,,,,,,,,,,,
DOWNLOAD,DOWNLOAD, DOWNLOADING,ENLARGE,,,,,,,,,,,,,,,,
"DOWNSIZE_1,DOWNSIZE, DOWNSIZED, DOWNSIZING,""46,15"",SHRINK, MINIMIZE, REDUCE, BIG TO SMALL, ZOOM IN,REDUCE, MINIMIZE, SHRINK, LOSE WEIGHT,,,,,,"
DOWNSIZE_2,DOWNSIZE, DOWNSIZING,ENDANGERED, DWINDLE, SHRINK, SHRINKING, LESS, DIMINISH,DECREASE, REDUCE, SKINNY,,,,,,,,
DRYER,DRYER,,,,,,,,,,,,,,,,,,
DUCK,DUCK,FRESHMAN,,,,,,,,,,,,,,,,,
DUMB,DUMB,STUPID,STUPID, DUMB,,,,,,,,,,,,,,,
EAGLE,EAGLE,HAWK,,,,,,,,,,,,,,,,,
EARN,EARN,COLLECT, INCOME, GATHER, CREAM, RUN OUT,EARN, DESERVE, EARN, EARNING, CREAM, INTAKE, COLLECT, GATHER, INCOME,,,,
EARTH,EARTH,PLANET,PLANET, GEOGRAPHY, EARTH,,,,,,,,,,,,,,
EAT,EAT,FOOD,,,,,,,,,,,,,,,,,
EAT_2,EAT,FOOD,EAT, FOOD, MEAL, DIET,,,,,,,,,,,,,
EGG,EGG, EGGS,,,,,,,,,,,,,,,,,
EGO,EGO, ALL ABOUT ME,BIGOT, SHOW-OFF, SELF-CENTERED, SELF-INVOLVED, SELFISH, GREEDY,ARROGANT, SELFISH, PIG, ALL MINE, BULLY, ME FIRST, SELF-CENTERED,,,,
ELECTRICIAN,ELECTRICIAN,ELECTRICAL, ELECTRONIC, CHARGER,HATCH,,,,,,,,,,,,,,
EMOTION,EMOTION, EMOTIONS,EMOTIONAL,EMOTIONAL, EMOTION,,,,,,,,,,,,,,
EMPEROR,EMPEROR,EMPIRE, AMBASSADOR, NAME SIGN FOR PERSON E,EMBASSY, EMPEROR, EMPRESS,,,,,,,,,,,,
ENGINEER,ENGINEER,ARCHITECT,,,,,,,,,,,,,,,,,
ENOUGH,ENOUGH,PLENTY, HAD ENOUGH, SUFFICIENT,,,,,,,,,,,,,,,
EQUAL,EQUAL,FAIR, EVEN,FAIR, EQUAL, EQUALITY, JUSTICE, SAME, EVEN,,,,,,,,,,
EVALUATE,EVALUATE,EVALUATION, EXPERIMENT, EXPERIENCE,,,,,,,,,,,,,,,
EXPERIENCE,EXPERIENCE,PEACH,PEACH, MORMON,,,,,,,,,,,,,,,
EYES,EYES,,,,,,,,,,,,,,,,,,
FAUCET,FAUCET, FAUCETS,SINK, TURN ON/OFF WATER FAUCET,,,,,,,,,,,,,,,
FAVOURITE,FAVOURITE,PREFER, PREFERENCE, FAVOR, TASTE,PREFERENCE, FAVORITE, FAVOR, PREFER, PREFERRED, TASTE, PREFERENCE, FAVORITISM,,,,,,
FIGURE,FIGURE,MULTIPLY, CALCULATE, MATH,FIGURE, MULTIPLY, MATH, WORSENING,,,,,,,,,,,
FILM,FILMING, FILM,VIDEOCAMERA, VIDOETAPE, VIDEOTAPING, CAMERA, SHOOT A FILM, VIDEO RECORDING, CAMCORDER, TAKE VIDEO,FILM, VIDEO, RECORD, CAMERA,,,,,
FINE_1,FINE,OK, POLITE, THAT'S ALRIGHT, THIS IS ACCEPTABLE,,,,,,,,,,,,,,
FINE_2,FINE,ALRIGHT,OK, NO PROBLEM, NO SWEAT, ACCEPTABLE, SURE,,,,,,,,,,,,
FIRST,FIRST,ONE DOLLAR, ONE,ONE DOLLAR, ONLY, FIRST, SINGLE,,,,,,,,,,,,
FLOOR,FLOOR, FLOORING,,,,,,,,,,,,,,,,,
FLOWER,FLOWER, FLOWERS,,,,,,,,,,,,,,,,,
FOREIGNER_1,FOREIGNER, FOREIGNERS,COUNTRY PERSON , FOREIGN,FOREIGNER,,,,,,,,,,,,,,
FOREIGNER_2,FOREIGNER, FOREIGNERS,FOREIGN,,,,,,,,,,,,,,,,
FOREVER,FOREVER,ETERNITY,ETERNINTY, FOREVER, LENGTHY,,,,,,,,,,,,,,
FORGETFUL,FORGETFUL,FORGET,ALZHEIMER'S, DEMENTIA, FORGETFUL,,,,,,,,,,,,,,
GAME,GAME, GAMES,,,,,,,,,,,,,,,,,
GLOW,GLOW, GLOWING,SHINING FACE, EYES SHINING, SHINE, SHINING, GLITTER ON FACE, FACE GLIMMERING, GLOWING, RADIANT, EYES GLOWING, EYES GLISTENING, SHINY,GLOWING FACE, BRILLIANT, AURA,,,
GOLD,GOLD,CALIFORNIA,CALIFORNIA,,,,,,,,,,,,,,,,
GOVERNMENT,GOVERNMENT,CAPITOL, STATE,GOVERNMENT,,,,,,,,,,,,,,,
GUESS_1,GUESS,MISS, ESTIMATE, ASSUME,GUESS, MISS, ASSUME, ESTIMATE,,,,,,,,,,,
HAMMER,HAMMER,JUDGE, COURT,HAMMER, JUDGE,,,,,,,,,,,,,,
HORRIBLE,HORRIBLE,AWFUL, TERRIBLE, TRAGIC,TERRIBLE, HORRIBLE, AWFUL,,,,,,,,,,,,
HOTDOG,HOTDOG,SAUSAGE,SAUSAGE, BALONEY, HOTDOG,,,,,,,,,,,,,,
HUMBLE,HUMBLE,HUMILITY, MODEST,,,,,,,,,,,,,,,,
HUNGRY,HUNGRY,HUNGER, WISH,WISH, DESIRE, STARVE, HUNGRY,,,,,,,,,,,,
HUSBAND,HUSBAND,HUBBY,,,,,,,,,,,,,,,,,
IGNORE,IGNORE,NEGLECT,NEGLECT, DISMISS, DON'T CARE,,,,,,,,,,,,,,
IMAGINE,IMAGINE,IMAGINATION, IMAGINARY, IDEAS, SPEW IDEAS,IMAGINATION, IMAGINE, PARANOID, HALLUCINATION,,,,,,,,,,
IMPACT,IMPACT,COINCIDENCE, HIT, SUDDENLY/SUDDEN HIT, JACKPOT, RANDOMLY, HAPPENSTANCE, STRIKE, ONE TIME THING, DIDN'T PLAN TO,STRIKE, BY CHANCE, IMPACT, LUCK, RANDOM, OUT OF THE BLUE, HIT, SUDDENLY, JUST HAPPENED
ISRAEL,ISRAEL,,,,,,,,,,,,,,,,,,
ITALY,ITALY,BRAZIL,SHAPE CLASSIFIER,,,,,,,,,,,,,,,,
JIGSAW_PUZZLE,JIGSAW_PUZZLE,PAGER, DOUBT, UNSURE ,,,,,,,,,,,,,,,
JUDGE,JUDGE,COURT,COURT, JUDGE, JUDGMENT, JUDGMENTAL,,,,,,,,,,,,,
KNEEL,KNEEL, KNEELING,KNEES, PROTEST,,,,,,,,,,,,,,,
LAWN MOWER,LAWN MOWER,STROLLER, MOW, MOWING, CART, MOW GRASS/LAWN/ YARD,CART, PRAM, MOW/ MOWING, CUT GRASS,,,,,,,,,
LESSON,LESSON,LIST, COURSE,LESSON, COURSE, RECIPE, LIST, UNIT,,,,,,,,,,,
LOBSTER,LOBSTER,CRAB,CRAB,,,,,,,,,,,,,,,,
LONG_LINE,LONG LINE,LINE UP, STUCK IN A LONG LINE,QUEUE,,,,,,,,,,,,,,,
MAIL,MAIL,LETTER, STAMP,LETTER, STAMP, POST,,,,,,,,,,,,,
MASCARA,MASCARA,EYELASH(ES), EYELINER,EYELASH, MASCARA,,,,,,,,,,,,,,
MEAN_1,MEAN,CRUEL, CRUELTY,,,,,,,,,,,,,,,,
MECHANIC_1,MECHANIC,PLUMBER, MAINTENANCE,,,,,,,,,,,,,,,,
MECHANIC_2,MECHANIC,PLUMBING, WRENCH, PLUMBER, TOOL, REPAIR,,,,,,,,,,,,,
MEDICINE,MEDICINE, MEDICATION,MEDICAL,POISON, MEDICAL, DRUG, DRUGS, RX, MEDICINAL,,,,,,,,,,
METAL,METAL,STEEL, GARBAGE, TRASH,STEEL, GREY, IRON,,,,,,,,,,,,
MIME,MIME,MOTION, PACK, SCRAPPING,,,,,,,,,,,,,,,
MOUSE,MOUSE,MICE, FAKE, FALSE,,,,,,,,,,,,,,,
MOVIE,MOVIE, MOVIES,FILM, CHEESE,,,,,,,,,,,,,,,
MUSEUM,MUSEUM,MCDONALDS, MONTANA,,,,,,,,,,,,,,,,
NAPKIN,NAPKIN, NAPKINS,CUED SPEECH,CUED SPEECH,,,,,,,,,,,,,,,
NEPHEW,NEPHEW,NIECE, BOY WITH SIGN NAME M,NEPHEW, NEUROLOGY,,,,,,,,,,,,,,
NEUTRAL,NEUTRAL,NOUN,,,,,,,,,,,,,,,,,
NEWSPAPER,NEWSPAPER,PRINT,PRINT, PRINTER, PUBLISH,,,,,,,,,,,,,,
OFF_THE_POINT,OFF THE POINT,RANDOM,OFF THE POINT, OFF THE TOPIC, OFF THE SUBJECT, DEVIATE, OFF BASE, OFF THE TRACK,,,,,,,,,,,
ONION,ONION, ONIONS,,,,,,,,,,,,,,,,,
ORDER_2,ORDER,COMMAND,COMMAND, ORDER,,,,,,,,,,,,,,,
OWE,OWE,DEBT, DUE, AFFORD, BILLING,OWE, DEBT, DUE, AFFORD, AFFORDABLE, BILL(S),,,,,,,,
PANTS,PANTS, PANT,SLACK,SLACKS, TROUSER,,,,,,,,,,,,,,
PATIENT_3,PATIENT,BEAR, PATIENCE, TOLERANCE, TOLERATE, SUFFER, SUFFERING, ENDURE,TOLERATE, PATIENT, PATIENCE, SUCK IT UP, PUT UP WITH, BEAR,,,,,
PENNY,PENNY,CENT,,,,,,,,,,,,,,,,,
PERFECT,PERFECT,EXACT, EXACTLY, PRECISELY, PERFECTION,PRECISE, EXACTLY, EXACT,,,,,,,,,,,
PILE,PILE,LARGE AMOUNT, A LOT,  BUNCH, PLENTY OF, BOUNTIFUL, OVERFLOW, OVERLOADED, BIG AND ROUND, BALLOON, MORE THAN ENOUGH,PLENTY, OVERFLOWED, HALF DOME, BUNCH OF(1), FLUFFY,,,
PIPE,PIPE,SMOKE PIPE, IPHONE, DRINK ALCOHOL,POPEYE,,,,,,,,,,,,,,
POOL_GAME,POOL,BILLIARDS,BILLIARDS,,,,,,,,,,,,,,,,
POP,POP,CHIME THE BELL,POP A PIN IN A CUSHION, BEATS ON THE DRUM,POP THE IDEA, DEFLATE THE IDEA, BURST A BUBBLE,,,,,,,,,,,,
POTATO,POTATO, POTATOES,CHIPS, POTATO CHIP,CHIPS, POTATO,,,,,,,,,,,,,
POWER,POWER,POWERFUL,POWERFUL,,,,,,,,,,,,,,,,
PREFER,PREFER,YOUNGER, RATHER, BETTER, HEALTHIER, CHIEF/CEO,,,,,,,,,,,,,
PROBLEM_1,PROBLEM, PROBLEMS,DIFFICULT, DIFFICULTY, ISSUE(S), PUZZLE,,,,,,,,,,,,,
PSYCHOLOGIST,PSYCHOLOGIST,SHRINK, PSYCHOLOGY, PSYCHICAL,,,,,,,,,,,,,,,
REALLY,REALLY?,SURE?, TRUE?,SURE, REALLY? , ARE YOU KIDDING ME?,,,,,,,,,,,,,
RESPONSIBILITY,RESPONSIBILITY,RESPONSIBLE, LIABILITY,OBLIGATION, DUTY, RESPONSIBILITY, ACCOUNTABLE,,,,,,,,,,,,
REVENGE,REVENGE,AVENGE, PRANK, RETALIATE,,,,,,,,,,,,,,,
RHINO,RHINO,HORN,,,,,,,,,,,,,,,,,
ROLLERBLADE,ROLLERBLADE, ROLLERBLADING,ROLLERBLADES, SKATE,ROLLERBLADING,,,,,,,,,,,,,,
RUDE,RUDE,BLANK,,,,,,,,,,,,,,,,,
RUN,RUN, RUNNING,JOG,,,,,,,,,,,,,,,,
RUSSIA,RUSSIA,SYRUP, MAPLE, HONEY,RUSSIA, SYRUP,,,,,,,,,,,,,
SAW,SAW,PUMP, STAB,PUMP, HACKSAW, SAWING, POKE WITH STICK,,,,,,,,,,,,
SCAN,SCAN, SCANNING,XEROX,, COPY MACHINE,XEROX, COPY MACHINE, SCANNER, SCAN,,,,,,,,,,
SCREWDRIVER,SCREWDRIVER,SCREW,,,,,,,,,,,,,,,,,
SCROLL_DOWN,SCROLL DOWN,DRAG, MARK ALL WITH SAME ANSWER, SELECT ALL, SCRATCH, CLICK CLICK CLICK, COPY AND PASTE DOCUMENT FROM COMPUTER, SEW STRAIGHT DOWN, TEST,,,,,,,,,,
SET_UP,SET UP,ESTABLISH, CLUB, FOUNDER, FOUNDATION, FOUND, FOUNDED, ESTABLISHMENT,ESTABLISH, ESTABLISHED,  SET UP, FOUNDED, FOUND,,,,,,
SHAVE,SHAVE,ELECTRIC SHAVER OR SHAVING MACHINE, CL: SHAVE WITH AN ELECTRIC RAZOR, CL:SHAVE BEARD WITH A SHAVING MACHINE, CL: A PERSON SHAVING THEIR FACE, SHAVE FREQUENTLY,,,,,,,,,,,,,
SHINY,SHINY,SHINE, SHINING,SHINY, GOLDEN NAME, GLOW, GLOWING, SHINE, SPARKLING,,,,,,,,,,
SHIRT,SHIRT,T-SHIRT, SWEATER, TOP, BLOUSE,SWEATER, BLOUSE,,,,,,,,,,,,
SHOCKED,SHOCKED,SHOCK,STUNNED, DUMBFOUNDED, SHOCK, SHOCKING,,,,,,,,,,,,,
SHOES,SHOES, SHOE,,,,,,,,,,,,,,,,,
SILVER,SILVER,SOUND,,,,,,,,,,,,,,,,,
SMART,SMART,CLEVER, INTELLIGENT, BRILLIANT,INTELLIGENT, INTELLIGENCE, CLEVER, BRILLIANT,,,,,,,,,,,
SMOKING,SMOKING, SMOKE,SMOKING,,,,,,,,,,,,,,,,
SOCKS,SOCKS, SOCK,,,,,,,,,,,,,,,,,
SOUP,SOUP,SPOON,SOUP, CEREAL,,,,,,,,,,,,,,,
SOUTH,SOUTH,NONE,,,,,,,,,,,,,,,,,
SPAGHETTI,SPAGHETTI,PASTA,PASTA, SPAGHETTI, NOODLES,,,,,,,,,,,,,,
SPEAKERS,(LIGHT) FLASHING, LIGHTS BLINKING, BOOM BOX, MUSIC BOOMING / BLASTING, LOUD NOISE, GOOD SOUND, FLICKERING LIGHTS, FLASH,MUSIC BOOMING, FLASHING LIGHTS FROM BEHIND,,,,,,,,,
SQUIRREL,SQUIRREL,CHIPMUNK,,,,,,,,,,,,,,,,,
STAMP,STAMP, STAMPS,FUN/HAVE FUN!, POSTAGE,,,,,,,,,,,,,,,
STARS,STARS, STAR,,,,,,,,,,,,,,,,,
START,START,BEGIN,START, BEGIN,,,,,,,,,,,,,,,
STETHOSCOPE,STETHOSCOPE,DOCTOR,,,,,,,,,,,,,,,,,
STUDENT,STUDENT,LEARNER,STUDENT, LEARNER,,,,,,,,,,,,,,,
STUPID_1,STUPID,IGNORANT, DUMB,STUPID, IGNORANT, DUMB, NO IDEA,,,,,,,,,,,,
STUPID_2,STUPID,PEA-BRAIN, NITWIT, MORON, GOOFY, DUNCE, IDIOT, SQUARE-HEADED, IGNORANT, DUH,STUPID, DUMB, MORON, PEA-BRAINED, DIMWIT, IMBECILE, SHOULDN'T-HAVE-DONE-THAT,,
SURE,SURE,TRUE, REALLY, CERTAINLY,TRUE, REALLY, SURE,,,,,,,,,,,,
SURF,SURF, SURFING,SKATEBOARD, RIDE, SURFER,,,,,,,,,,,,,,
SUSHI,SUSHI,NURSE,FOOD,,,,,,,,,,,,,,,,
SWEATER,SWEATER,BLOUSE, T-SHIRT / SHIRT, TOP, WOMAN, SWEATSHIRT,SHIRT, SWEATSHIRT, BLOUSE, FEMALE,,,,,,,,,
SWEEP,SWEEP, SWEEPING,BROOM,BROOM, SWEEP,,,,,,,,,,,,,,
SWING,SWING, SWINGING,HAMMOCK, ROCK, ROCKING, STINGRAY, SWAY, CRADLING, WATER, SKATEBOARD, LEAF FALLING, SURFACE BEND LIKE PAN,HAMMOCK,,,,,,
SYMPATHY,SYMPATHY,POOR, PITY, MERCY,PITY, POOR, SYMPATHY, MERCY,,,,,,,,,,,
TEASE,TEASE, TEASING,(JUST) KIDDING, JOKING, JOKE,JOKING, KIDDING, TEASING, JOKE,,,,,,,,,,
TENNIS,TENNIS,WHIP, SWORD,WHACK, PING PONG,,,,,,,,,,,,,,
TEXT,TEXT, TEXTING,VIDEO GAME, PAGER, WHICH,PAGE, EMAIL VIA PHONE, VIDEO GAME, TEXTING, PLAYING VIDEO GAME, USE PAGER, TEXT YOU,,,,,,,
THANKSGIVING,THANKSGIVING,,,,,,,,,,,,,,,,,,
THEATER,THEATER,SHOW, PLAY, ACT, ACTING, ACTOR, ACTORS,PLAY, ACTOR/ACTRESS, ACT, DRAMA,  PERFORMANCE, PERFORM, SKIT,,,,,
THINGS,THINGS,INVITE, INVITE-ME, INVITED, MATERIALS 4.0),OBJECTS, THINGS, RESOURCES, SUPPLIES, SOMETHING,,,,,,,,,
THINK_OVER,THINK OVER,MINDLESS, CURLY, RUNNING, IN PROCESS, BRAINWASHED, WIRED, CURLING HAIR ON IRON,INSANE, A LOT ON THE MIND,,,,,,,,,
TOBACCO,TOBACCO,CHEW TOBACCO, SMIRK,SNUG, CHEW TOBACCO, TOBACCO,,,,,,,,,,,,,
TOILET,TOILET,BATHROOM,,,,,,,,,,,,,,,,,
TRASH,TRASH,GARBAGE, BAG,TRASH, GARBAGE, PURSE,,,,,,,,,,,,,
VACATION,VACATION,HOLIDAY, OFF WORK,,,,,,,,,,,,,,,,
VACUUM,VACUUM, VACUUMING,ROAST MARSHMALLOWS,,,,,,,,,,,,,,,,
VEGETABLE,VEGETABLE, VEGETABLES,VEGETARIAN,,,,,,,,,,,,,,,,
VIDEOPHONE,VIDEOPHONE,VIDEOCHAT, WEBCHAT, WEBCAM, TALK VIA VIDEO, VIDEO CONFERENCING,WEBCAM, SKYPE, VIDEO CHAT,,,,,,,,,,
WAITER,WAITER, WAITRESS,SERVER, SERVANT, DELIVERER, SERVICE,WAITRESS, SERVER, SERVANT,,,,,,,,,,
"WANDER,WANDER, WANDERING, WANDER OFF, WANDER AROUND,""67,74"",WALK AWAY, ROAM, WALKING, WALK ALONE, WALKING ALONE, PERSON WALKS ALONE, WALK AROUND,WALK, WALK OFF, WALK AWAY,,,,"
WAR,WAR,COMMOTION,BATTLE, FIGHT,,,,,,,,,,,,,,,
WET,WET,SOAKED,,,,,,,,,,,,,,,,,
WHAT_2,WHAT,,,,,,,,,,,,,,,,,,
WHAT_FOR,WHAT-FOR?,NONE,,,,,,,,,,,,,,,,,
WHISTLE,WHISTLE,REFEREE, UMPIRE,REFEREE, UMPIRE,,,,,,,,,,,,,,
WINDOW,WINDOW,,,,,,,,,,,,,,,,,,
WITCH,WITCH,BIG NOSE, BIG NOSED, WITCH NOSE, PARROT,,,,,,,,,,,,,,
WRONG_2,WRONG,MISTAKE, ACCIDENT, WHAT'S THE MATTER?, WHY-NOT?,MISTAKE, SUDDENLY, ERROR, MISTAKEN, I AM WRONG, WHAT'S THE MATTER?,,,,,,,,
ZOOM_IN,ZOOM IN,ENLARGE, EXPAND, VLOG, CLOSE UP, FULL SCREEN, BLOW UP, SCREEN APPEARS, OPEN UP, OPEN WINDOW, OPEN A WEBSITE PAGE, VLOG OR BLOG OPEN,BLOW UP, POPS UP, PULL UP THE WINDOW/VLOG, ZOOM IN, ENLARGE, COMPUTER INTERFACE TURN ON,
ZOOM_OFF,ZOOM,TRAIN GONE, ZOOM, TAKE OFF, GO, LEAVE IMMEDIATELY, SPRINT, RUN OFF, SOMETHING WENT BY QUICKLY!,TAKE OFF, VANISHED, LEFT DISAPPEARED, LEAVE IMMEDIATELY, GONE FAST, DASHED,,,,