Gloss,1,2,3,4,5,6,7,8,9,10,11,12
FLAT-(TIRE) (SURFACE),,,,,,,,,,,,
FLATTERY,,,,,,,,,,,,
FLOOR,,,,,,,,,,,,
FLOPPY DISK,,,,,,,,,,,,
FLORIDA,,,,,,,,,,,,
FLOWER,,,,,,,,,,,,
FLUNK,,,,,,,,,,,,
FLY,,,,,,,,,,,,
FLY-(INSECT),,,,,,,,,,,,
FOLLOW, WITH,,,,,,,,,,,
FOOD, EAT,,,,,,,,,,,
FOOL,,,,,,,,,,,,
FOOT,,,,,,,,,,,,
FOOTBALL,,,,,,,,,,,,
FOR, WHAT FOR,,,,,,,,,,,
FORCE,,,,,,,,,,,,
FOREST,,,,,,,,,,,,
FOREVER,,,,,,,,,,,,
FORGET,,,,,,,,,,,,
FORGIVE,,,,,,,,,,,,
FORK,,,,,,,,,,,,
FOX,,,,,,,,,,,,
FRACTIONS, NUMBERS,,,,,,,,,,,
FREE, INDEPENDENT, LIBERATED, SAFE,,,,,,,,,
FREEWAY, HIGHWAY,,,,,,,,,,,
FREEZE,,,,,,,,,,,,
FRENCH-FRIES,,,,,,,,,,,,
FRENCH-TOAST,,,,,,,,,,,,
FRESHMAN,,,,,,,,,,,,
FRIDAY,,,,,,,,,,,,
FRIEND, GOOD-FRIEND, BOY-FRIEND, GIRL-FRIEND (4),,,,,,,,,
FRIENDLY, PLEASANT, CHEERFUL,,,,,,,,,,
FRISBEE,,,,,,,,,,,,
FROG,,,,,,,,,,,,
FROM,,,,,,,,,,,,
FROM-NOW-ON,,,,,,,,,,,,
FROM-TIME-TO-TIME,,,,,,,,,,,,
FRONT,,,,,,,,,,,,
FRUGAL,,,,,,,,,,,,
FRUIT,,,,,,,,,,,,
FRUSTRATED,,,,,,,,,,,,
FULL,,,,,,,,,,,,
FUN,,,,,,,,,,,,
FUNNY,,,,,,,,,,,,
FURNITURE,,,,,,,,,,,,
FUTURE, LATER, WILL, SOMEDAY," FAR IN THE FUTURE""",,,,,,,,
GALLON,,,,,,,,,,,,
GAME, CHALLENGE,,,,,,,,,,,
GARAGE,,,,,,,,,,,,
GARBAGE,,,,,,,,,,,,
GARLIC,,,,,,,,,,,,
GAS , FART,,,,,,,,,,,
GAS , GASOLINE,,,,,,,,,,,
GAS-STATION,,,,,,,,,,,,
GAY,,,,,,,,,,,,
GENDER,,,,,,,,,,,,
GENTLE,,,,,,,,,,,,
GERMANY,,,,,,,,,,,,
GET, ACQUIRE,,,,,,,,,,,
GET-ALONG,,,,,,,,,,,,
GET-IN,,,,,,,,,,,,
GET-ON,,,,,,,,,,,,
GHOST,,,,,,,,,,,,
GIANT,,,,,,,,,,,,
GIRAFFE,,,,,,,,,,,,
GIRL, WOMAN, LADY,,,,,,,,,,
GIVE, HAND TO,,,,,,,,,,,
GIVE-UP, SACRIFICE,,,,,,,,,,,
GLASS, CUP,,,,,,,,,,,
GLASSES, GALLAUDET,,,,,,,,,,,
GO, ALSO COME,,,,,,,,,,,
GO-AHEAD,,,,,,,,,,,,
GO-TO-BED,,,,,,,,,,,,
GOAL,,,,,,,,,,,,
GOAT,,,,,,,,,,,,
GOD,,,,,,,,,,,,
"GOD: """"GOD IS AWESOME""""",,,,,,,,,,,,
GOLD/SILVER,,,,,,,,,,,,
GONE, ABSENT, DEPLETE, RUN- OUT- OF,,,,,,,,,
GOOD,,,,,,,,,,,,
GOOD-NIGHT,,,,,,,,,,,,
GOOD-NIGHT-MOON,,,,,,,,,,,,
GOODBYE,,,,,,,,,,,,
GORILLA,,,,,,,,,,,,
GOSSIP,,,,,,,,,,,,
GOVERNMENT,,,,,,,,,,,,
GRACE,,,,,,,,,,,,
GRADE,,,,,,,,,,,,
GRADUATE,,,,,,,,,,,,
GRAIN,,,,,,,,,,,,
GRANDDAUGHTER,,,,,,,,,,,,
GRANDMA,,,,,,,,,,,,
GRANDPA,,,,,,,,,,,,
GRANDSON,,,,,,,,,,,,
GRANT-GIVE,,,,,,,,,,,,
GRAPES,,,,,,,,,,,,
GRAPH,,,,,,,,,,,,
GRASS, HAY,,,,,,,,,,,
GRATITUDE,,,,,,,,,,,,
GRAVE,,,,,,,,,,,,
GRAVY,,,,,,,,,,,,
GRAY,,,,,,,,,,,,
GREAT, WONDERFUL,,,,,,,,,,,
GREEN,,,,,,,,,,,,
GRITS,,,,,,,,,,,,
GROUP, FAMILY,,,,,,,,,,,
GROW,,,,,,,,,,,,
GUARDED,,,,,,,,,,,,
GUARDED,,,,,,,,,,,,
GUEST,,,,,,,,,,,,
GUINEA-PIG,,,,,,,,,,,,
GYM,,,,,,,,,,,,
"GYMNASTICS""",,,,,,,,,,,,
HABIT, RELIGIOUS-GARMENT,,,,,,,,,,,
HAIR,,,,,,,,,,,,
HAIR-BUZZ,,,,,,,,,,,,
HAIR-RAISING,,,,,,,,,,,,
HAIRCUT,,,,,,,,,,,,
HALF,,,,,,,,,,,,
HALF-HOUR,,,,,,,,,,,,
HALL,,,,,,,,,,,,
HALLOWEEN,,,,,,,,,,,,
HAM,,,,,,,,,,,,
HAMBURGER,,,,,,,,,,,,
HAMMER,,,,,,,,,,,,
HAND,,,,,,,,,,,,
HANDSHAPES,,,,,,,,,,,,
HANUKKAH (OR CHANUKAH),,,,,,,,,,,,
HAPPEN,,,,,,,,,,,,
HAPPY,,,,,,,,,,,,
HARD, TOUGH, DIFFICULT, PROBLEM,,,,,,,,,
HARD-OF-HEARING,,,,,,,,,,,,
HAT,,,,,,,,,,,,
HAUNTED-HOUSE,,,,,,,,,,,,
HAVE,,,,,,,,,,,,
HAVE-TO [NEED/MUST,,,,,,,,,,,,
HAWAII,,,,,,,,,,,,
HE,,,,,,,,,,,,
HEAD,,,,,,,,,,,,
HEAD-COLD,,,,,,,,,,,,
HEADPHONES,,,,,,,,,,,,
HEAL /HEALTHY,,,,,,,,,,,,
HEALTH, BODY,,,,,,,,,,,
HEAR, SOUND,,,,,,,,,,,
HEARING,,,,,,,,,,,,
HEARING-AID,,,,,,,,,,,,
HEART,,,,,,,,,,,,
HEART-ATTACK,,,,,,,,,,,,
HEAVY,,,,,,,,,,,,
HELEN KELLER,,,,,,,,,,,,
HELICOPTER,,,,,,,,,,,,
HELLO,,,,,,,,,,,,
HELP HERE,,,,,,,,,,,,
HERMIT,,,,,,,,,,,,
HEY,,,,,,,,,,,,
HI,,,,,,,,,,,,
HIDE,,,,,,,,,,,,
HIGH,,,,,,,,,,,,
HIGH-SCHOOL,,,,,,,,,,,,
HIKE, CL:V,,,,,,,,,,,
HIPPIE,,,,,,,,,,,,
HIPPOPOTAMUS,,,,,,,,,,,,
HIRE, INVITE, INTRODUCE, WELCOME,,,,,,,,,
HIS, POSSESSION,,,,,,,,,,,
HISTORY,,,,,,,,,,,,
HIT,,,,,,,,,,,,
HOCKEY,,,,,,,,,,,,
HOLIDAY,,,,,,,,,,,,
HOLLAND,,,,,,,,,,,,
HOLLAND,,,,,,,,,,,,
HOME,,,,,,,,,,,,
HOMEWORK,,,,,,,,,,,,
HONEY-I-SHRUNK-THE-AUDIENCE,,,,,,,,,,,,
HONOR,,,,,,,,,,,,
HORSE,,,,,,,,,,,,
HOSPITAL,,,,,,,,,,,,
HOT,,,,,,,,,,,,
HOT-AIR-BALLOON,,,,,,,,,,,,
HOTDOG,,,,,,,,,,,,
HOTEL,,,,,,,,,,,,
HOUR, 1/2-HOUR, NUMERICAL INCORPORATION,,,,,,,,,,
HOUSE,,,,,,,,,,,,
HOUSTON,,,,,,,,,,,,
HOW,,,,,,,,,,,,
HOW WAS YOUR DAY?,,,,,,,,,,,,
HOW-MANY, MANY,,,,,,,,,,,
HOW-MUCH,,,,,,,,,,,,
HUG,,,,,,,,,,,,
HUH?,,,,,,,,,,,,
HUMBLE,,,,,,,,,,,,
HUMMINGBIRD,,,,,,,,,,,,
HUMP,,,,,,,,,,,,
HUNGRY, WISH,,,,,,,,,,,
HURRY, RUSH,,,,,,,,,,,
HURT [PAIN, INJURY,,,,,,,,,,,
HUSBAND," MARRIAGE""",,,,,,,,,,,
HUSH,,,,,,,,,,,,
"I AM""""",,,,,,,,,,,,
I-PAD,,,,,,,,,,,,
ICE, #ICE-(LEXICALIZED),,,,,,,,,,,
ICE-CREAM,,,,,,,,,,,,
ICE-SKATE, ROLLER-BLADE,,,,,,,,,,,
IDEA,,,,,,,,,,,,
IF, #IF-(LEXICALIZED),,,,,,,,,,,
IMMIGRANT,,,,,,,,,,,,
IMPORTANT, VALUE, COST, WORTH,,,,,,,,,
IMPOSSIBLE,,,,,,,,,,,,
IMPRESSED,,,,,,,,,,,,
IMPROVE,,,,,,,,,,,,
IN,,,,,,,,,,,,
IN-LAW,,,,,,,,,,,,
INCH,,,,,,,,,,,,
INCOMPETENT, NOT-GOOD-AT, INEPT,,,,,,,,,,
INCREASE,,,,,,,,,,,,
INDEXING- [THEM, THEY, THOSE, US, WE, YOU-ALL, THAT,,,,,,
INDIA,,,,,,,,,,,,
INDIAN,,,,,,,,,,,,
INFECTION,,,,,,,,,,,,
INHERIT,,,,,,,,,,,,
INK,,,,,,,,,,,,
INNOCENT,,,,,,,,,,,,
INSPIRATION, FIRE,,,,,,,,,,,
INSPIRE,,,,,,,,,,,,
INSTITUTE,,,,,,,,,,,,
INSTRUMENT,,,,,,,,,,,,
INSULT,,,,,,,,,,,,
INTEREST,,,,,,,,,,,,
INTERESTING,,,,,,,,,,,,
INTERNET,,,,,,,,,,,,
INTERPRETER,,,,,,,,,,,,
INTERRUPT, BOTHER,,,,,,,,,,,
INTERSECT, GRAPH,,,,,,,,,,,
INTERSECTION,,,,,,,,,,,,
INTERSECTION/CROSSROADS, CONFLICT PAGE,,,,,,,,,,,
INTERVIEW,,,,,,,,,,,,
INTRUDE,,,,,,,,,,,,
INVENT,,,,,,,,,,,,
INVEST,,,,,,,,,,,,
INVESTIGATE, RESEARCH, CHECK,,,,,,,,,,
INVISIBLE,,,,,,,,,,,,
INVOLVED,,,,,,,,,,,,
IRELAND,,,,,,,,,,,,
IS," HOW TO HANDLE """"BE VERBS""""",,,,,,,,,,,
ISH (-ISH),,,,,,,,,,,,
ISLAND,,,,,,,,,,,,
ISRAEL,,,,,,,,,,,,
ISSUES,,,,,,,,,,,,
IT,,,,,,,,,,,,
ITALY,,,,,,,,,,,,
ITCH,,,,,,,,,,,,
ITS," POSSESSION""",,,,,,,,,,,
JANITOR,,,,,,,,,,,,
JAPAN,,,,,,,,,,,,
JEALOUS,,,,,,,,,,,,
JEALOUS,,,,,,,,,,,,
JEHOVAH'S WITNESSES,,,,,,,,,,,,
JESUS,,,,,,,,,,,,
JEWISH,,,,,,,,,,,,
JOB, #JOB-(LEXICALIZED),,,,,,,,,,,
JOIN,,,,,,,,,,,,
JOKING,,,,,,,,,,,,
JUDGE, IF,,,,,,,,,,,
JUICE,,,,,,,,,,,,
JUMP,,,,,,,,,,,,
JUNIOR,,,,,,,,,,,,
"JUST""",,,,,,,,,,,,
KETCHUP,,,,,,,,,,,,
KEYBOARD,,,,,,,,,,,,
KEYS,,,,,,,,,,,,
KILL,,,,,,,,,,,,
KISS,,,,,,,,,,,,
KITCHEN,,,,,,,,,,,,
KITE,,,,,,,,,,,,
KITTEN,,,,,,,,,,,,
KNIFE,,,,,,,,,,,,
KNIT,,,,,,,,,,,,
KNOW, DON'T KNOW, KNOW-THAT, KNOW-NOTHING, FAMILIAR, AWARE,,,,,,,
KOALA,,,,,,,,,,,,
KOREA,,,,,,,,,,,,
"KWANZAA""",,,,,,,,,,,,
LAB,,,,,,,,,,,,
LABOR-DAY,,,,,,,,,,,,
LADY,,,,,,,,,,,,
LAID-OUT,,,,,,,,,,,,
LAME,,,,,,,,,,,,
LANGUAGE,,,,,,,,,,,,
LARGE, BIG,,,,,,,,,,,
LAST,,,,,,,,,,,,
LATE,,,,,,,,,,,,
LATER,,,,,,,,,,,,
LAUGH,,,,,,,,,,,,
LAUNDRY,,,,,,,,,,,,
LAW - [LEGAL, RULE, PRINCIPLE,,,,,,,,,,
LAWYER,,,,,,,,,,,,
LAY [ALSO SEE: CL:V,,,,,,,,,,,,
LAYER,,,,,,,,,,,,
LAZY,,,,,,,,,,,,
LEARN LEAP,,,,,,,,,,,,
LEAVE, DEPART LEAVE, LEAVE-BEHIND, ABANDON,,,,,,,,,
LEAVE-BEHIND, SEE: ABANDON,,,,,,,,,,,
LEBANON,,,,,,,,,,,,
LECTURE, SPEECH, TALK,,,,,,,,,,
LEFT, RIGHT,,,,,,,,,,,
LEG,,,,,,,,,,,,
LEMON,,,,,,,,,,,,
LESBIAN,,,,,,,,,,,,
LESSON, COURSE, LIST, MAKE-LIST,,,,,,,,,
LETTER,,,,,,,,,,,,
LETTER,,,,,,,,,,,,
LEXICALIZED SIGNS-WORKSHOP,,,,,,,,,,,,
LIBRARY, LIBRARY+ER,,,,,,,,,,,
LIE,,,,,,,,,,,,
LIE-DOWN,,,,,,,,,,,,
LIGHT, LAMP, LIGHTS-ON, LIGHTS-OFF, HEADLIGHTS, BRIGHT, LIGHT-A-MATCH, EMERGENCY VEHICLE, AMBULANCE,,,,
LIGHT-WEIGHT,,,,,,,,,,,,
LIKE ,,,,,,,,,,,,
LIME,,,,,,,,,,,,
LIMOUSINE,,,,,,,,,,,,
LINE OF WORK, MAIN,,,,,,,,,,,
LINGUISTICS,,,,,,,,,,,,
LINK,,,,,,,,,,,,
LION,,,,,,,,,,,,
LIPREAD,,,,,,,,,,,,
LIST,,,,,,,,,,,,
LITTLE, LITTLE-BIT,,,,,,,,,,,
LIVE, LIFE, ADDRESS,,,,,,,,,,
LLAMA,,,,,,,,,,,,
LOAN, BORROW, LEND, KEEP,,,,,,,,,
LOCAL,,,,,,,,,,,,
LOCATED-AT,,,,,,,,,,,,
LOCATIONS: [TOP, BOTTOM, SIDE, BENEATH,,,,,,,,,
LONELY,,,,,,,,,,,,
LONG,,,,,,,,,,,,
LONG-HAIR,,,,,,,,,,,,
"LONG: """"A LONG TIME AGO.""""",,,,,,,,,,,,
LOOK,,,,,,,,,,,,
LOOK [SEE: SEE,,,,,,,,,,,,
LOOK-AROUND,,,,,,,,,,,,
LOOK-AT-THAT,,,,,,,,,,,,
LOOK-LIKE,,,,,,,,,,,,
LOOK-UP,,,,,,,,,,,,
LOOKS,,,,,,,,,,,,
LOS ANGELES,,,,,,,,,,,,
LOSE,,,,,,,,,,,,
LOST,,,,,,,,,,,,
LOUD,,,,,,,,,,,,
LOUSY,,,,,,,,,,,,
LOVE (4),,,,,,,,,,,,
LOW,,,,,,,,,,,,
LUCK,,,,,,,,,,,,
"LUNCH""",,,,,,,,,,,,
MACHINE, FACTORY,,,,,,,,,,,
MAD, ANGRY,,,,,,,,,,,
MAGICIAN,,,,,,,,,,,,
MAGNET,,,,,,,,,,,,
MAIN, PROFESSION, MAJOR,,,,,,,,,,
MAJOR, MAIN,,,,,,,,,,,
MAKE,,,,,,,,,,,,
MAKE-OUT,,,,,,,,,,,,
MAN,,,,,,,,,,,,
MANAGER, ADMINISTRATION, RULE-OVER, REIGN,,,,,,,,,
MANY,,,,,,,,,,,,
MARRIAGE, HUSBAND, WIFE, MARRY, MARRIED, SPOUSE,,,,,,,
"MARRY: """"YOU MIND IF I MARRY YOUR DAUGHTER?""""",,,,,,,,,,,,
MARSHMALLOW,,,,,,,,,,,,
MATCH, ROOMMATE, COMBINE,,,,,,,,,,
MATH, ALGEBRA, CALCULUS, TRIGONOMETRY, GEOMETRY,,,,,,,,
MAYBE, MAY, MIGHT,,,,,,,,,,
MAYONNAISE,,,,,,,,,,,,
ME,,,,,,,,,,,,
MEAN-(MEANING), WHAT IS THE MEANING OF, PURPOSE (1),,,,,,,,,,
MEAN, CRUEL, PURPOSE,,,,,,,,,,
MEANING,,,,,,,,,,,,
MEASURE,,,,,,,,,,,,
MEASURE, ENGINEER,,,,,,,,,,,
MEAT, STEAK, BEEF, CONTEXT,,,,,,,,,
MECHANIC, WRENCH,,,,,,,,,,,
MEDICINE,,,,,,,,,,,,
MEET, MEET-YOU (1),,,,,,,,,,,
MEETING,,,,,,,,,,,,
MEMBER, CONGRESS, FACULTY, SENATE, STAFF,,,,,,,,
MEMBER,,,,,,,,,,,,
MEMORIAL DAY,,,,,,,,,,,,
MEMORIZE,,,,,,,,,,,,
METAL,,,,,,,,,,,,
METHOD,,,,,,,,,,,,
MEXICO,,,,,,,,,,,,
MICHIGAN,,,,,,,,,,,,
MICROPHONE,,,,,,,,,,,,
MICROWAVE,,,,,,,,,,,,
MIDDLE, CENTER,,,,,,,,,,,
MIDNIGHT,,,,,,,,,,,,
MILE,,,,,,,,,,,,
MILK,,,,,,,,,,,,
MINUS,,,,,,,,,,,,
MINUTE,,,,,,,,,,,,
MISCHIEVOUS, DEVIL,,,,,,,,,,,
MISS-(EMOTION),,,,,,,,,,,,
MISS-OUT, GUESS,,,,,,,,,,,
MISSIONARY, PREACHER, PASTOR,,,,,,,,,,
MISTAKE,,,,,,,,,,,,
MITTENS,,,,,,,,,,,,
MOCK,,,,,,,,,,,,
MOLE,,,,,,,,,,,,
MOM [GRANDMA,,,,,,,,,,,,
MONDAY,,,,,,,,,,,,
MONEY, BUY, PURCHASE, SHOPPING,,,,,,,,,
MONITOR,,,,,,,,,,,,
MONKEY,,,,,,,,,,,,
MONSTER,,,,,,,,,,,,
MONTH, MONTHLY, RENT, MONTH-NEXT,,,,,,,,,
MOON,,,,,,,,,,,,
MOOSE,,,,,,,,,,,,
MORE,,,,,,,,,,,,
MORNING, EVERY-MORNING, ALL-MORNING,,,,,,,,,,
MORON,,,,,,,,,,,,
MOSQUITO,,,,,,,,,,,,
MOST,,,,,,,,,,,,
MOTIVATE,,,,,,,,,,,,
MOTOR, MACHINE, ENGINE,,,,,,,,,,
MOTORCYCLE,,,,,,,,,,,,
MOUNTAIN,,,,,,,,,,,,
MOUSE,,,,,,,,,,,,
MOUSE_PAD,,,,,,,,,,,,
MOUTH,,,,,,,,,,,,
MOVE,,,,,,,,,,,,
MOVIE,,,,,,,,,,,,
MR.,,,,,,,,,,,,
MRS.,,,,,,,,,,,,
MS.,,,,,,,,,,,,
MUCH,,,,,,,,,,,,
MULTIPLY,,,,,,,,,,,,
MURDER,,,,,,,,,,,,
MUSIC, SONG, SING, SINGER, POETRY,,,,,,,,
MUST, NEED,,,,,,,,,,,
MUSTACHE,,,,,,,,,,,,
MUSTARD,,,,,,,,,,,,
"MUTE""",,,,,,,,,,,,
NAME, CALLED (1),,,,,,,,,,,
NATION,,,,,,,,,,,,
NATIVE-AMERICAN [INDIAN,,,,,,,,,,,,
NATURE,,,,,,,,,,,,
NEAR, CLOSE,,,,,,,,,,,
NECKLACE,,,,,,,,,,,,
NEED,,,,,,,,,,,,
NEED, MUST, HAVE-TO, SHOULD, OUGHT-TO,,,,,,,,
NEGATION [NOT, DON'T, REVERSAL OF ORIENTATION,,,,,,,,,,
NEGATIVE,,,,,,,,,,,,
NEIGHBOR- [NEXT-TO,,,,,,,,,,,,
NEPHEW,,,,,,,,,,,,
NERVOUS,,,,,,,,,,,,
NEVER,,,,,,,,,,,,
NEW,,,,,,,,,,,,
NEW ORLEANS,,,,,,,,,,,,
NEW YEAR'S DAY,,,,,,,,,,,,
NEW-YORK,,,,,,,,,,,,
NEWSPAPER,,,,,,,,,,,,
NEWSPAPER, PRINTER,,,,,,,,,,,
NEXT,,,,,,,,,,,,
NEXT-TO/BESIDE, NEIGHBOR,,,,,,,,,,,
NICE, CLEAN (1),,,,,,,,,,,
NIECE NIGHT, ALL-NIGHT, EVERY-NIGHT, EVENING,,,,,,,,,
NO,,,,,,,,,,,,
NO-GOOD, #NG-(LEXICALIZED),,,,,,,,,,,
NOBODY,,,,,,,,,,,,
NOISE,,,,,,,,,,,,
NONE,,,,,,,,,,,,
NONEXISTENT,,,,,,,,,,,,
NOON,,,,,,,,,,,,
NORMAL, OF-COURSE, NATURAL, ORDINARY,,,,,,,,,
NORTH,,,,,,,,,,,,
NOSE,,,,,,,,,,,,
NOT,,,,,,,,,,,,
NOT-MATTER,,,,,,,,,,,,
NOT-YET,,,,,,,,,,,,
NOTHING,,,,,,,,,,,,
NOTHING-TO-IT,,,,,,,,,,,,
NOTICE,,,,,,,,,,,,
NOUN,,,,,,,,,,,,
NOW, PRESENT,,,,,,,,,,,
NUMBER,,,,,,,,,,,,
NUMBERS,,,,,,,,,,,,
NUMERICAL- INCORPORATION,,,,,,,,,,,,
NURSE ALSO SEE:,,,,,,,,,,,,
"NURSING-HOME""",,,,,,,,,,,,
OBTRUSIVE,,,,,,,,,,,,
OCCUPY-WALL-STREET,,,,,,,,,,,,
OCEAN/SEA,,,,,,,,,,,,
OCTOPUS,,,,,,,,,,,,
ODD,,,,,,,,,,,,
OF,,,,,,,,,,,,
OFFICE,,,,,,,,,,,,
OFFICIAL,,,,,,,,,,,,
OFTEN,,,,,,,,,,,,
OH-GEE,,,,,,,,,,,,
OH-I-SEE,,,,,,,,,,,,
OKAY,,,,,,,,,,,,
OLD,,,,,,,,,,,,
OLYMPICS,,,,,,,,,,,,
ON/[OFF,,,,,,,,,,,,
ONCE,,,,,,,,,,,,
ONE-MORE,,,,,,,,,,,,
ONE: THE PERFECT ONEFOR ME,,,,,,,,,,,,
ONLY,SOMETHING,,,,,,,,,,,
OPEN,,,,,,,,,,,,
OPPOSITE, ACROSSFROM, ALLERGIC, AGREE, DISAGREE, STRUGGLE,,,,,,,
OR,,,,,,,,,,,,
ORANGE,,,,,,,,,,,,
ORDER,,,,,,,,,,,,
ORDER, ANSWER,,,,,,,,,,,
ORDINARY, REGULAR, NORMAL,,,,,,,,,,
ORGAN,,,,,,,,,,,,
OTHER,,,,,,,,,,,,
OUNCE,,,,,,,,,,,,
OUR, ALSO POSSESSION,,,,,,,,,,,
OUT - ALSO [IN,,,,,,,,,,,,
OUTSIDE,,,,,,,,,,,,
OVEN,,,,,,,,,,,,
OVER, ACROSS, CROSS,,,,,,,,,,
OWE, BILL, DUE, DEBT,,,,,,,,,
"OWL""",,,,,,,,,,,,
OWN,,,,,,,,,,,,
PAGE,,,,,,,,,,,,
PAIN,,,,,,,,,,,,
PAINTER, PAINT,,,,,,,,,,,
PAIR,,,,,,,,,,,,
PALE,,,,,,,,,,,,
PANCAKE,,,,,,,,,,,,
PANDA,,,,,,,,,,,,
PANTOMIME,,,,,,,,,,,,
PANTS,,,,,,,,,,,,
PAPER, PAGE, LOOK-UP, DICTIONARY,,,,,,,,,
PARAMEDIC,,,,,,,,,,,,
PARANOID,,,,,,,,,,,,
PARDON,,,,,,,,,,,,
PARENTS,,,,,,,,,,,,
PARK,,,,,,,,,,,,
PARK-CAR,,,,,,,,,,,,
PARKING PERMIT,,,,,,,,,,,,
PARKING- LOT,,,,,,,,,,,,
PARTY,,,,,,,,,,,,
PASS,,,,,,,,,,,,
PAST,,,,,,,,,,,,
PASTOR,,,,,,,,,,,,
PATIENT,,,,,,,,,,,,
PATRONIZE, FREQUENT,,,,,,,,,,,
PAY,,,,,,,,,,,,
PAY-ATTENTION, FOCUS, CONCENTRATE,,,,,,,,,,
PEACH,,,,,,,,,,,,
PEANUT-BUTTER,,,,,,,,,,,,
PEAR,,,,,,,,,,,,
PEAS,,,,,,,,,,,,
PENCIL, PEN, WRITE,,,,,,,,,,
PEOPLE,,,,,,,,,,,,
PEPPER,,,,,,,,,,,,
PEPPERONI,,,,,,,,,,,,
PEPSI,,,,,,,,,,,,
PERCENT,,,,,,,,,,,,
PERFECT-[EXACT,,,,,,,,,,,,
PERMANENT,,,,,,,,,,,,
PERMIT, ALLOW,,,,,,,,,,,
PERSON,,,,,,,,,,,,
PET,,,,,,,,,,,,
PHILADELPHIA,,,,,,,,,,,,
PHONE,,,,,,,,,,,,
PHOTOGRAPHY,,,,,,,,,,,,
PHYSICS,,,,,,,,,,,,
PICK-UP,,,,,,,,,,,,
PICKLE,,,,,,,,,,,,
PICTURE, PHOTOGRAPHER,,,,,,,,,,,
PIE,,,,,,,,,,,,
PIG,,,,,,,,,,,,
PIG-OUT,,,,,,,,,,,,
PILGRIM,,,,,,,,,,,,
PILL, TAKE-PILL,,,,,,,,,,,
PILLAR,,,,,,,,,,,,
PILOT,,,,,,,,,,,,
PINEAPPLE,,,,,,,,,,,,
PIPELINE,,,,,,,,,,,,
PITTSBURGH,,,,,,,,,,,,
PIZZA,,,,,,,,,,,,
PIZZA-(DEEP_DISH),,,,,,,,,,,,
PLACE, AREA,,,,,,,,,,,
PLACES,,,,,,,,,,,,
PLAID,,,,,,,,,,,,
PLAN,,,,,,,,,,,,
PLANT,,,,,,,,,,,,
PLATE, DISH,,,,,,,,,,,
PLAY-(TOYS, PARTY),,,,,,,,,,,
PLAY-CARDS, CARD, CHECK,,,,,,,,,,
PLEASE (1),,,,,,,,,,,,
PLEASURE (1),,,,,,,,,,,,
PLENTY, ENOUGH,,,,,,,,,,,
PLIERS,,,,,,,,,,,,
PLUG, PLUG-IN, UNPLUG,,,,,,,,,,
PLUS, POSITIVE,,,,,,,,,,,
POETRY,,,,,,,,,,,,
POINT,,,,,,,,,,,,
POINT-OF-VIEW,,,,,,,,,,,,
POLAND,,,,,,,,,,,,
