Gloss,1,2,3,4,5,6,7,8,9,10,11,12
POLE,,,,,,,,,,,,
POLICE, COP, SHERIFF, DETECTIVE,,,,,,,,,
POLITE,,,,,,,,,,,,
POOP,,,,,,,,,,,,
POP, SODA,,,,,,,,,,,
POPCORN,,,,,,,,,,,,
POSSESSION: [HAVE, OWN, HER, HIS, ITS, MINE, MY, OUR, THEIR, YOUR, YOURS,,
POSSIBLE,,,,,,,,,,,,
POST, PUT UP A POSTER, BULLETIN+BOARD,,,,,,,,,,
POST-OFFICE,,,,,,,,,,,,
POSTAL-WORKER,,,,,,,,,,,,
POSTPONE, PUT-OFF,,,,,,,,,,,
POTATO,,,,,,,,,,,,
POUND, LB, WEIGHT, WEIGH,,,,,,,,,
POUR,,,,,,,,,,,,
PRACTICE, TRAINING,,,,,,,,,,,
PRACTICE-WHAT-YOU-PREACH,,,,,,,,,,,,
PREACHER,,,,,,,,,,,,
PREFER,,,,,,,,,,,,
PREGNANT,,,,,,,,,,,,
PRESCRIPTION,,,,,,,,,,,,
PRESIDENT, SUPERINTENDENT,,,,,,,,,,,
PRESSURE, STRESS,,,,,,,,,,,
PRETTY, BEAUTIFUL, HANDSOME, GOOD LOOKING,,,,,,,,,
PRETZEL,,,,,,,,,,,,
PREVENT,,,,,,,,,,,,
PRIEST,,,,,,,,,,,,
PRINCIPAL,,,,,,,,,,,,
PRINCIPLE,,,,,,,,,,,,
PRINTER, NEWSPAPER, PUBLISH, NEWS,,,,,,,,,
PRIOR-TO,,,,,,,,,,,,
PRISON, JAIL, IN-JAIL,,,,,,,,,,
PROBLEM,,,,,,,,,,,,
PROCEED, GO-AHEAD-WITH, GET-ALONG, GO-ON,,,,,,,,,
PROFESSION OR PROFESSIONAL, MAIN,,,,,,,,,,,
PROGRAM,,,,,,,,,,,,
PROMISE,,,,,,,,,,,,
PRONOMINALIZATION AND INDEXING: [IT, HE, ME, SHE, HIM, HER, THIS, YOU,,,,,
PROOF,,,,,,,,,,,,
PROUD,,,,,,,,,,,,
PSYCHOLOGY,,,,,,,,,,,,
PUDDING,,,,,,,,,,,,
PULL,,,,,,,,,,,,
PUMPKIN,,,,,,,,,,,,
PUNCH,,,,,,,,,,,,
PURPLE,,,,,,,,,,,,
PURPOSE,,,,,,,,,,,,
PURSE,,,,,,,,,,,,
PUSH,,,,,,,,,,,,
PUT, PUT-ON, PUT-AWAY, MOVE,,,,,,,,,
PUT-DOWN,,,,,,,,,,,,
"PUZZLE""",,,,,,,,,,,,
QUESTION-MARK,,,,,,,,,,,,
QUICK,,,,,,,,,,,,
QUIET,,,,,,,,,,,,
QUIT, JOIN, PARTICIPATE,,,,,,,,,,
QUIZ,,,,,,,,,,,,
"QUOTE""",,,,,,,,,,,,
RABBIT,,,,,,,,,,,,
RACCOON,,,,,,,,,,,,
RACE, COMPETE,,,,,,,,,,,
RACE/COMPETE, WITH,,,,,,,,,,,
RADIATE,,,,,,,,,,,,
RAIN,,,,,,,,,,,,
RAISED, GROW-UP,,,,,,,,,,,
RAT,,,,,,,,,,,,
READ,,,,,,,,,,,,
READY,,,,,,,,,,,,
REAL,,,,,,,,,,,,
REALIZE, REASON,,,,,,,,,,,
REALLY,,,,,,,,,,,,
REASON, REALIZE,,,,,,,,,,,
REBEL,,,,,,,,,,,,
RECENT,,,,,,,,,,,,
RECIPE,,,,,,,,,,,,
RECORD,,,,,,,,,,,,
RECOVERY,,,,,,,,,,,,
RED,,,,,,,,,,,,
REFRIGERATOR,,,,,,,,,,,,
REGISTER,,,,,,,,,,,,
REGULAR, ORDINARY,RIGHTEOUS,,,,,,,,,,
REJECT,,,,,,,,,,,,
RELATIONSHIP,,,,,,,,,,,,
RELIEVE, SATISFIED,,,,,,,,,,,
RELIEVED,,,,,,,,,,,,
REMEMBER,,,,,,,,,,,,
REPLACE, SEETRADE,,,,,,,,,,,
REQUEST,,,,,,,,,,,,
RESEARCH,,,,,,,,,,,,
RESERVE/RESERVATION, APPOINTMENT,,,,,,,,,,,
RESIDENTIAL-(GENERAL),,,,,,,,,,,,
RESIDENTIAL-SCHOOL-FOR-THE-DEAF,,,,,,,,,,,,
RESPECT,,,,,,,,,,,,
RESPONSIBLE,,,,,,,,,,,,
RESPONSIBLE, FAULT,,,,,,,,,,,
REST, RELAX,,,,,,,,,,,
RESTAURANT,,,,,,,,,,,,
RESTROOM,,,,,,,,,,,,
RESULT,,,,,,,,,,,,
RESUME,,,,,,,,,,,,
RETIRE,,,,,,,,,,,,
REUNION,,,,,,,,,,,,
REVIEW,,,,,,,,,,,,
RICE,,,,,,,,,,,,
RIDE-ON/IN,,,,,,,,,,,,
RIGHT, ALRIGHT, RIGHT-(DIRECTION), RIGHT-(CORRECT), RIGHTS-(SOCIETAL),,,,,,,,
RINGING,,,,,,,,,,,,
RIVER,,,,,,,,,,,,
ROAD,,,,,,,,,,,,
ROBOT,,,,,,,,,,,,
ROCK,,,,,,,,,,,,
ROCKET,,,,,,,,,,,,
RODEO,,,,,,,,,,,,
ROLLER-BLADE, ICE-SKATE,ROLLER-SKATE,,,,,,,,,,
ROOF,,,,,,,,,,,,
ROOM,,,,,,,,,,,,
ROOMMATE,,,,,,,,,,,,
ROOSTER,,,,,,,,,,,,
ROOT BEER,,,,,,,,,,,,
ROW,,,,,,,,,,,,
RUBBER,,,,,,,,,,,,
RUDE,,,,,,,,,,,,
RUIN, SPOIL,,,,,,,,,,,
RULE,,,,,,,,,,,,
RULE, LAW,,,,,,,,,,,
RUN, ...,,,,,,,,,,,
RURAL (COUNTRY),,,,,,,,,,,,
"RUSSIA""",,,,,,,,,,,,
S E X,,,,,,,,,,,,
SALAD,,,,,,,,,,,,
SALESPERSON,,,,,,,,,,,,
SALT,,,,,,,,,,,,
SAME:, ME-SAME-AS-YOU, ME-TOO, SIMILAR,,,,,,,,,
SAND,,,,,,,,,,,,
SANDWICH,,,,,,,,,,,,
SANTA CLAUS,,,,,,,,,,,,
SATISFIED,,,,,,,,,,,,
SATURDAY,,,,,,,,,,,,
SAVE,,,,,,,,,,,,
SAW,,,,,,,,,,,,
SAY,,,,,,,,,,,,
SCADS,,,,,,,,,,,,
SCAN,,,,,,,,,,,,
SCAR,,,,,,,,,,,,
SCARECROW,,,,,,,,,,,,
SCARED, AFRAID,,,,,,,,,,,
SCARF,,,,,,,,,,,,
SCHEDULE,,,,,,,,,,,,
SCHOOL, ACADEMIC,,,,,,,,,,,
SCIENTIST,,,,,,,,,,,,
SCISSORS,,,,,,,,,,,,
SCOOTER,,,,,,,,,,,,
SCORPION,,,,,,,,,,,,
SCOTLAND,,,,,,,,,,,,
SCREWDRIVER,,,,,,,,,,,,
SCUBA,,,,,,,,,,,,
SEA-HORSE,,,,,,,,,,,,
SEARCH, LOOK FOR, EXAMINE SEEK,,,,,,,,,,
SEASON,,,,,,,,,,,,
SEASONING,,,,,,,,,,,,
SECOND,,,,,,,,,,,,
SECOND-HAND,,,,,,,,,,,,
SECRET,,,,,,,,,,,,
SECRETARY,,,,,,,,,,,,
SEE, LOOK-AT, WATCH, LET'S-SEE,,,,,,,,,
SEED,,,,,,,,,,,,
SEEK,,,,,,,,,,,,
SEEM,,,,,,,,,,,,
SEIZE, TAKE-OVER, ARREST,,,,,,,,,,
SEIZURE,,,,,,,,,,,,
SELF,,,,,,,,,,,,
SELF-STUDY,,,,,,,,,,,,
SEND, MAIL,,,,,,,,,,,
SENIOR,,,,,,,,,,,,
SENSE ,,,,,,,,,,,,
SENTENCE,,,,,,,,,,,,
SEPARATE, APART,,,,,,,,,,,
SERENDIPITY ,,,,,,,,,,,,
SERENITY ,,,,,,,,,,,,
SERIOUS,,,,,,,,,,,,
SERVICE,,,,,,,,,,,,
"SET OR """"SET UP)  SEE",,,,,,,,,,,,
SEVERAL,,,,,,,,,,,,
SEW,,,,,,,,,,,,
SHAPE,,,,,,,,,,,,
SHARE,,,,,,,,,,,,
SHARK,,,,,,,,,,,,
SHAVE,,,,,,,,,,,,
SHE,,,,,,,,,,,,
SHEEP,,,,,,,,,,,,
SHELF, CL:B,,,,,,,,,,,
SHHH!,,,,,,,,,,,,
SHINE,,,,,,,,,,,,
SHIRT, BLOUSE,,,,,,,,,,,
SHOCKED,,,,,,,,,,,,
SHOES,,,,,,,,,,,,
SHOPPING, MONEY,,,,,,,,,,,
SHORT, SHORT-STATURE, SHORT-DURATION, SHORT-SLEEVE,,,,,,,,,
SHORT-HAIR,,,,,,,,,,,,
SHORTCOMINGS,,,,,,,,,,,,
SHOULD, NEED,,,,,,,,,,,
SHOW, EXAMPLE, DEMONSTRATE,,,,,,,,,,
SHOW-UP, APPEAR, DISAPPEAR, VANISH,,,,,,,,,
SHOWER,,,,,,,,,,,,
SHUT-DOWN, POWER-OUTAGE, POWER-OFF, TURN-OFF, BLOW-OUT,,,,,,,,
SHUT-UP,,,,,,,,,,,,
SHY,,,,,,,,,,,,
SICK,,,,,,,,,,,,
SIDE, LOCATIONS,,,,,,,,,,,
SIDEWALK,,,,,,,,,,,,
SIGN,,,,,,,,,,,,
SIGN (STREET)-(STREET SIGN),,,,,,,,,,,,
SIGN, SIGN LANGUAGE, SIGNING (1),,,,,,,,,,
SILLY,,,,,,,,,,,,
SIMPLE,,,,,,,,,,,,
SINCE,,,,,,,,,,,,
SINGER,,,,,,,,,,,,
SINGLE,,,,,,,,,,,,
SINK,,,,,,,,,,,,
SIR,,,,,,,,,,,,
SISTER [GIRL, FEMALE,,,,,,,,,,,
SIT,,,,,,,,,,,,
SKATEBOARDING,,,,,,,,,,,,
SKATING, ICE-SKATING, ROLLERBLADING,,,,,,,,,,
SKI,,,,,,,,,,,,
SKILL, GOOD-AT, TALENT, EXPERT,,,,,,,,,
SKIN,,,,,,,,,,,,
SKINNED,,,,,,,,,,,,
SKINNY,,,,,,,,,,,,
SKIRT,,,,,,,,,,,,
SKUNK,,,,,,,,,,,,
SKY,,,,,,,,,,,,
SKYSCRAPER,,,,,,,,,,,,
SLEEP, SLEEPY, OVER-SLEEP, SUNRISE,,,,,,,,,
SLIDE,,,,,,,,,,,,
SLIPPED,,,,,,,,,,,,
SLIPPED-MY-MIND,,,,,,,,,,,,
SLOPPY,,,,,,,,,,,,
SLOW,,,,,,,,,,,,
SMALL,,,,,,,,,,,,
SMART,,,,,,,,,,,,
SMELL,,,,,,,,,,,,
SMOKE,,,,,,,,,,,,
SMOOTH,,,,,,,,,,,,
SNACK,,,,,,,,,,,,
SNAKE,,,,,,,,,,,,
SNOB,,,,,,,,,,,,
SNOW,,,,,,,,,,,,
SNOWBOARD,,,,,,,,,,,,
SO,,,,,,,,,,,,
SO-SO, SORT-OF,,,,,,,,,,,
SOAP,,,,,,,,,,,,
SOCCER,,,,,,,,,,,,
SOCIOPATH,,,,,,,,,,,,
SOCKS,,,,,,,,,,,,
SOFT, WET, HUMID,,,,,,,,,,
SOFTBALL,,,,,,,,,,,,
SOFTWARE,,,,,,,,,,,,
SOME,,,,,,,,,,,,
SOMEDAY,,,,,,,,,,,,
SOMEONE,,,,,,,,,,,,
SOMETHING,,,,,,,,,,,,
SOMETIMES,,,,,,,,,,,,
SON ALSO [BABY,,,,,,,,,,,,
SOON,,,,,,,,,,,,
SOPHOMORE,,,,,,,,,,,,
SORE-THROAT,,,,,,,,,,,,
SORRY, APOLOGIZE, REGRET,,,,,,,,,,
SOUND, HEAR,,,,,,,,,,,
SOUP,,,,,,,,,,,,
SOUTH,,,,,,,,,,,,
SPAGHETTI,,,,,,,,,,,,
SPAIN,,,,,,,,,,,,
SPANISH,,,,,,,,,,,,
SPARKLE,,,,,,,,,,,,
SPECIALIZE,,,,,,,,,,,,
SPEECH-IMPAIRED,,,,,,,,,,,,
SPELL,,,,,,,,,,,,
SPEND,,,,,,,,,,,,
SPEND, FEED,,,,,,,,,,,
SPIDER,,,,,,,,,,,,
SPILL/SPREAD,,,,,,,,,,,,
SPINE,,,,,,,,,,,,
SPIRIT / SOUL / SPIRITUAL / GHOST,,,,,,,,,,,,
SPIT,,,,,,,,,,,,
SPOIL, RUIN,,,,,,,,,,,
SPOON, SOUP},,,,,,,,,,,
SPRING, GROW, PLANT, BUSH,,,,,,,,,
SQUARE, SIGN, BLACK+BOARD, PERIMETER,,,,,,,,,
SQUASH,,,,,,,,,,,,
SQUIRREL,,,,,,,,,,,,
STAGE,,,,,,,,,,,,
STAIRS,,,,,,,,,,,,
STAND [ALSO CL:V,,,,,,,,,,,,
STAR,,,,,,,,,,,,
START, BEGIN, INITIATE,,,,,,,,,,
STATE,,,,,,,,,,,,
STATIONERY,,,,,,,,,,,,
STAY,,,,,,,,,,,,
STEAL,,,,,,,,,,,,
STEPFATHER,,,,,,,,,,,,
STEPMOTHER,,,,,,,,,,,,
STILL,,,,,,,,,,,,
STING,,,,,,,,,,,,
STINK,,,,,,,,,,,,
STOMACH,,,,,,,,,,,,
STOP (4),,,,,,,,,,,,
STORAGE,,,,,,,,,,,,
STORE,,,,,,,,,,,,
STORM,,,,,,,,,,,,
STOVE,,,,,,,,,,,,
STOVE,,,,,,,,,,,,
STRAIGHT,,,,,,,,,,,,
STRAIGHT-HAIR,,,,,,,,,,,,
STRANGE,,,,,,,,,,,,
STRAWBERRY,,,,,,,,,,,,
STREET,,,,,,,,,,,,
STRICT,,,,,,,,,,,,
STRIPES,,,,,,,,,,,,
STROKE,,,,,,,,,,,,
STRONG, WELL, BRAVE, COURAGEOUS, RECOVER,,,,,,,,
STRUGGLE,,,,,,,,,,,,
STRUGGLE, OPPOSITE,,,,,,,,,,,
STUBBORN , DONKEY,,,,,,,,,,,
STUCK,,,,,,,,,,,,
STUCK-UP,,,,,,,,,,,,
STUDENT,,,,,,,,,,,,
STUDY,,,,,,,,,,,,
STUPID, DUMB,,,,,,,,,,,
SUBORDINATE, WITH,,,,,,,,,,,
SUBSCRIBE, GET-REGULARLY, SSI, WELFARE,,,,,,,,,
SUBTRACT,,,,,,,,,,,,
SUBWAY,,,,,,,,,,,,
SUCCEED, FINALLY, SUCCESS, FAMOUS, PAH!,,,,,,,,
SUGAR, CUTE,,,,,,,,,,,
SUGGEST, OFFER, PROPOSE,,,,,,,,,,
SUITCASE,,,,,,,,,,,,
SUMMER,,,,,,,,,,,,
SUN,,,,,,,,,,,,
SUNDAY,,,,,,,,,,,,
SUNRISE,,,,,,,,,,,,
SUPERVISOR,,,,,,,,,,,,
SUPPORT, PRO, LOYAL,,,,,,,,,,
SUPPOSE, IDEA,,,,,,,,,,,
SURE, TRUE,,,,,,,,,,,
SURF,,,,,,,,,,,,
SURGERY,,,,,,,,,,,,
SURPRISE,,,,,,,,,,,,
SUSPECT,,,,,,,,,,,,
SWEEP,,,,,,,,,,,,
SWEET,,,,,,,,,,,,
SWEETHEART,,,,,,,,,,,,
SWIM,,,,,,,,,,,,
SWING,,,,,,,,,,,,
SYMBOL,,,,,,,,,,,,
SYMPATHY [POOR-BABY, SYMPATHIZE-WITH, GRACE," COMPASSION""",,,,,,,,,
TABLESPOON,,,,,,,,,,,,
TAKE,,,,,,,,,,,,
TAKE-AWAY,,,,,,,,,,,,
TAKE-CARE-OF,,,,,,,,,,,,
TAKE-EASY,,,,,,,,,,,,
TAKE-TURNS,,,,,,,,,,,,
TALENT,,,,,,,,,,,,
TALK,,,,,,,,,,,,
TALK-TO-YOURSELF-(HERMIT),,,,,,,,,,,,
TALK-WITH,,,,,,,,,,,,
TALL,,,,,,,,,,,,
TAPE,,,,,,,,,,,,
TASTE,,,,,,,,,,,,
TATTLE/SQUEAL,,,,,,,,,,,,
TEA,,,,,,,,,,,,
TEACHER [TEACH, AGENT, -ER, PROFESSOR, EDUCATE,,,,,,,,
TEAM, FAMILY,,,,,,,,,,,
TEASE,,,,,,,,,,,,
TEASPOON,,,,,,,,,,,,
TECHNICAL, METHOD, TECHNIQUE,,,,,,,,,,
TECHNOLOGY,,,,,,,,,,,,
TEENAGER,,,,,,,,,,,,
TEETH,,,,,,,,,,,,
TELEPHONE,,,,,,,,,,,,
TELEVISION,,,,,,,,,,,,
TELL,,,,,,,,,,,,
TELLER-FS,,,,,,,,,,,,
TEMPERATURE,,,,,,,,,,,,
TEMPLE,,,,,,,,,,,,
TEMPTATION,,,,,,,,,,,,
TEND-TO,,,,,,,,,,,,
TERRIBLE,,,,,,,,,,,,
TERRORIST,,,,,,,,,,,,
TEST,,,,,,,,,,,,
TEST, EXAM, QUIZ,,,,,,,,,,
TEXAS,,,,,,,,,,,,
THAN,,,,,,,,,,,,
THANK-YOU [GOOD (1),,,,,,,,,,,,
THANKSGIVING,,,,,,,,,,,,
THAT,,,,,,,,,,,,
THAT, INDEXING,,,,,,,,,,,
THAT'S-LIFE, #TL-(LEXICALIZED),,,,,,,,,,,
THE,,,,,,,,,,,,
THEATER, ACT, ACTOR, DRAMA, PLAY, SHOW,,,,,,,
THEIR,,,,,,,,,,,,
THEIR, POSSESSION,,,,,,,,,,,
THERE,,,,,,,,,,,,
THEREABOUTS,,,,,,,,,,,,
THEY,,,,,,,,,,,,
THICK,,,,,,,,,,,,
THIEF,,,,,,,,,,,,
THIN, CL:G,,,,,,,,,,,
THING,,,,,,,,,,,,
THINK, BRAIN, MIND, THINK-ABOUT, WONDER,,,,,,,,
THINK-SAME, AGREE,,,,,,,,,,,
THIRSTY, CRAVE,,,,,,,,,,,
THIS,,,,,,,,,,,,
THORN,,,,,,,,,,,,
THREE,,,,,,,,,,,,
THROAT,,,,,,,,,,,,
THRONE,,,,,,,,,,,,
THROUGH,,,,,,,,,,,,
THROW, THROW-AWAY,,,,,,,,,,,
THUMB-DOWN [THUMBS-DOWN,,,,,,,,,,,,
THURSDAY,,,,,,,,,,,,
TICKET, GIVE-TICKET,,,,,,,,,,,
TICKLE,,,,,,,,,,,,
TIE,,,,,,,,,,,,
TIGER,,,,,,,,,,,,
"TIME_""""FROM_TIME_TO_TIME""""",,,,,,,,,,,,
"TIME_""""TIME-PERIOD""""",,,,,,,,,,,,
TIME, GENERAL,,,,,,,,,,,
TIMES (MULTIPLY),,,,,,,,,,,,
TIRED, EXHAUSTED,,,,,,,,,,,
TITLE, QUOTE,,,,,,,,,,,
TO,,,,,,,,,,,,
TOAST,,,,,,,,,,,,
TODAY,,,,,,,,,,,,
TOGETHER, WITH,,,,,,,,,,,
TOILET,,,,,,,,,,,,
TOMORROW, DAILY, EVERYDAY,,,,,,,,,,
TOOL,,,,,,,,,,,,
TOOTH,,,,,,,,,,,,
TOOTHPASTE,,,,,,,,,,,,
TOP, LOCATIONS,,,,,,,,,,,
TOPIC,,,,,,,,,,,,
TOTAL, SUM,,,,,,,,,,,
TOUCH, DWELL-ON,,,,,,,,,,,
TOUGH,,,,,,,,,,,,
TOWEL,,,,,,,,,,,,
TOY,,,,,,,,,,,,
TRADE, REPLACE, EXCHANGE,,,,,,,,,,
TRAFFIC,,,,,,,,,,,,
TRAIN,,,,,,,,,,,,
TRAIN-GONE,,,,,,,,,,,,
TRAINING, PRACTICE,,,,,,,,,,,
TRANSFER, SWITCH-OVER,,,,,,,,,,,
TRAVEL, TRIP,,,,,,,,,,,
TREAT,,,,,,,,,,,,
TREE, PARK, FOREST,,,,,,,,,,
TRIAL,,,,,,,,,,,,
TRICK-OR-TREAT,,,,,,,,,,,,
TRIP, TRAVEL,,,,,,,,,,,
TRUCK,,,,,,,,,,,,
TRUE, SURE, REALLY, REAL,,,,,,,,,
TRY,,,,,,,,,,,,
TTY, TELETYPEWRITER,,,,,,,,,,,
TUESDAY,,,,,,,,,,,,
TURKEY,,,,,,,,,,,,
TURN, TURN-ON, TURN-OF, KNOB/SWITCH,,,,,,,,,
TURN-TAKING-ALTERNATING,,,,,,,,,,,,
TURTLE,,,,,,,,,,,,
TV,,,,,,,,,,,,
TWO,,,,,,,,,,,,
TYPE, KEYBOARD," TYPEWRITER""",,,,,,,,,,
UMBRELLA,,,,,,,,,,,,
UNCLE (4)UNDERESTIMATE UNDERSTAND (1),,,,,,,,,,,,
UNDERWEAR,,,,,,,,,,,,
UNICORN,,,,,,,,,,,,
UP,,,,,,,,,,,,
UP, UPSTAIRS,,,,,,,,,,,
UP-TO-NOW,,,,,,,,,,,,
UPSET,,,,,,,,,,,,
URINATE,,,,,,,,,,,,
USB_DRIVE,,,,,,,,,,,,
USE,,,,,,,,,,,,
USED-(SECOND_HAND),,,,,,,,,,,,
"UTAH""",,,,,,,,,,,,
VACUUM,,,,,,,,,,,,
VARIOUS,,,,,,,,,,,,
VEGETABLE,,,,,,,,,,,,
VEGETARIAN,,,,,,,,,,,,
VERY,,,,,,,,,,,,
VET,,,,,,,,,,,,
VETERAN,,,,,,,,,,,,
VICE-PRESIDENT,,,,,,,,,,,,
VIDEO,,,,,,,,,,,,
WAGON, DISCUSSION,,,,,,,,,,,
WAIST,,,,,,,,,,,,
WAIT,,,,,,,,,,,,
WAITER/WAITRESS, SERVE, SERVANT,,,,,,,,,,
WAKE-UP,,,,,,,,,,,,
WAKE-UP, SURPRISE,,,,,,,,,,,
WALK-TO, WALK,,,,,,,,,,,
WALL,,,,,,,,,,,,
WALL, CL:B,,,,,,,,,,,
WANT, DON'T-WANT, DESIRE(4),,,,,,,,,,
WARM,,,,,,,,,,,,
WARN/CAUTION,,,,,,,,,,,,
WAS,,,,,,,,,,,,
WASH (4),,,,,,,,,,,,
WASH-DISHES,,,,,,,,,,,,
WASHING-MACHINE,,,,,,,,,,,,
WASHINGTON,,,,,,,,,,,,
WASHINGTON-DC,,,,,,,,,,,,
WATCH,,,,,,,,,,,,
WATCH, WRISTWATCH, BRACELET,,,,,,,,,,
WATER,,,,,,,,,,,,
WATER-FOUNTAIN,,,,,,,,,,,,
WAVE-NO,,,,,,,,,,,,
WAY,,,,,,,,,,,,
WAY, HALL, STREET, ROAD, AVENUE,,,,,,,,
WE,,,,,,,,,,,,
WE/US, INDEXING,,,,,,,,,,,
WEAK, VULNERABLE,,,,,,,,,,,
WEAR-OUT, BURNOUT, FALL-APART,,,,,,,,,,
WEATHER, WIND, BREEZE,,,,,,,,,,
WEB,,,,,,,,,,,,
WEBCAM,,,,,,,,,,,,
WEDNESDAY,,,,,,,,,,,,
WEEK,,,,,,,,,,,,
WEEK-(ADVANCED),,,,,,,,,,,,
WEEK-NEXT,,,,,,,,,,,,
WEEKEND,,,,,,,,,,,,
WEIGH,,,,,,,,,,,,
WELCOME,,,,,,,,,,,,
WELD, WELDER,,,,,,,,,,,
WERE,,,,,,,,,,,,
WEST,,,,,,,,,,,,
WET-WIPES,,,,,,,,,,,,
WHALE,,,,,,,,,,,,
WHAT,,,,,,,,,,,,
WHAT-DO,,,,,,,,,,,,
WHAT-KIND, TYPE, STYLE,,,,,,,,,,
WHEN,,,,,,,,,,,,
WHERE,,,,,,,,,,,,
WHICH,,,,,,,,,,,,
WHISPER,,,,,,,,,,,,
WHITE,,,,,,,,,,,,
WHITE-PERSON,,,,,,,,,,,,
WHO WHY,,,,,,,,,,,,
WICCA,,,,,,,,,,,,
WIDOW,,,,,,,,,,,,
WIFE,,,,,,,,,,,,
WILDERNESS,,,,,,,,,,,,
WILL, FUTURE,,,,,,,,,,,
WIN,,,,,,,,,,,,
WIND,,,,,,,,,,,,
WINDOW, OPEN-WINDOW, CLOSE-WINDOW,,,,,,,,,,
WINE, BEER,,,,,,,,,,,
WINTER,,,,,,,,,,,,
WISH,,,,,,,,,,,,
WITCH,,,,,,,,,,,,
WITH,,,,,,,,,,,,
WITH- ADVANCED DISCUSSION: [IN-FRONT-OF, BEHIND, FOLLOW, CATCH-UP, CHASE, FALL-BEHIND, ACCOMPANY, TOGETHER, GO-WITH, GO-STEADY, RACE, COMPETE, SUBORDINATE
WITHOUT,,,,,,,,,,,,
WOLF,,,,,,,,,,,,
WOLF-DOWN,,,,,,,,,,,,
WOMAN,,,,,,,,,,,,
WOMB,,,,,,,,,,,,
WON'T, REFUSE,,,,,,,,,,,
WONDER, THINK,,,,,,,,,,,
WONDERFUL,,,,,,,,,,,,
WOOD,,,,,,,,,,,,
WORD,,,,,,,,,,,,
WORK,,,,,,,,,,,,
WORLD,,,,,,,,,,,,
WORLD WIDE WEB,,,,,,,,,,,,
WORM,,,,,,,,,,,,
WORRY,,,,,,,,,,,,
WORSE, FIGURE, TIMES,,,,,,,,,,
WOULD,,,,,,,,,,,,
WOW,,,,,,,,,,,,
WRITE,,,,,,,,,,,,
WRONG,,,,,,,,,,,,
WWW,,,,,,,,,,,,
"WYOMING""",,,,,,,,,,,,
"YEAR-""""3 YEARS AGO""""",,,,,,,,,,,,
YELL,,,,,,,,,,,,
YELLOW,,,,,,,,,,,,
YES/NO,,,,,,,,,,,,
YESTERDAY,,,,,,,,,,,,
YOGURT,,,,,,,,,,,,
YOU, INDEXING,,,,,,,,,,,
YOUNG,,,,,,,,,,,,
"YOUR [ALSO POSSESSION""",,,,,,,,,,,,
ZERO,,,,,,,,,,,,
ZILCH ZIP,,,,,,,,,,,,
"ZOMBIE ZZ""",,,,,,,,,,,,
